09:37:33.424  INFO     Connecting to 100.122.9.49:5000...
09:37:33.766  INFO     Network connection established
09:37:33.766  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.766  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.766  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.766  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.766  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.766  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.766  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.769  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.770  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.770  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.770  INFO     RX        /ERR/LOKO/0x00000002
09:37:33.770  INFO     RX        /ERR/LOKO/0x00000002
