09:24:41.750  INFO     Connecting to 100.122.9.49:5000...
09:24:42.548  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:43.354  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:44.158  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:44.962  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:45.766  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:46.569  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:47.369  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:48.172  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:48.976  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:49.779  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:50.583  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:51.388  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:52.195  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:53.000  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:53.804  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:54.610  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:55.414  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:56.222  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:57.027  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:57.461  WARNING  Connection closed by remote
09:24:57.833  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:58.638  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:24:59.442  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:25:00.249  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:25:01.054  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
